n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
8,3191.06,522.372,2463,2950.5,3079,3284,5029
10,4467.41,486.383,3386,4207,4413,4823.25,5747
12,4252.53,1343.11,2361,3360.5,4259,4977.25,7184
14,5561.12,2997.72,3387,4823.75,5029,5490.5,21552
16,6834.34,1105.55,4515,6209.75,6722,7312,8723
18,7802.88,2838.56,5541,6336.5,7133,8261.25,21757
20,7196.75,924.117,5029,6748.25,7132.5,7722.75,9442
22,7732.31,1232.02,5747,6850.5,7594,8441.5,9852
24,9358.34,5068.63,5234,7081,8209.5,8954.25,33149
26,9307.12,1168.12,7492,8261.75,9288,10160.2,11494
28,13588.4,5924.5,8107,11058.5,12828,14547.8,43309
30,13293.5,3381.99,9647,11237.8,12366.5,14726.5,28223
32,18052.9,11583.7,10673,11982.2,13034,15445.2,49466
34,14031.2,2551.74,10468,12392.2,13701,15343.2,23810
36,14724,3290.81,10982,12597.5,14111.5,16061.2,27504
38,15974.8,3995.41,11187,12905.5,14367.5,17780.8,24734
40,14794.3,1955.63,11494,13290.5,14624,16446.2,17857
42,15862.4,3020.33,11802,13674.5,15548.5,17061.8,24528
44,17055.5,3646.72,11905,14444.5,16164,20218,24323
46,16689.8,2779.21,12110,14932.5,16215,18370.2,22578
48,16064.4,2815.67,12623,14291,15497,17035.5,26170
50,18437.8,3144.4,12315,16138.2,17806,20807.8,27094
52,20557.6,3519.56,15600,18063,20012.5,22680.2,32122
54,20676.2,3758.74,16009,18652.5,19293.5,22603.5,33662
56,21894.9,3784.97,15600,19191,20833.5,23296.8,32020
58,26593.3,10370.3,18473,21783,23809.5,26350,65476
60,26798.7,4353.85,20218,23681.2,25554.5,29480.2,36023
62,25371.3,3705.82,18062,22706.2,24630.5,28273.5,33148
64,26554.8,4038.12,20731,23476.2,26375.5,28581,36946
66,27940.3,4344.62,22784,25143.8,26375.5,29582.5,42488
68,29245.5,5604.29,22373,24913,27247.5,32994.5,42282
70,31243.6,6193.51,21860,27991.2,30531.5,32995,54906
72,30249.3,8435.52,20218,25810.8,28838,32224.5,70813
74,29563.1,5625.04,21347,26067.8,28325,31326.8,46388
76,29996.1,4136.91,23399,26503.2,29711,32969.5,38485
78,30393.7,5296.77,22167,26837.2,30223.5,32790,41666
80,30711.2,4871.47,21655,27093,29762,33840.8,43206
82,33777.2,11206,23501,28325.8,30737,36150.2,85694
84,34579,9322.5,24323,27760.8,31301,39768.2,64142
86,30259,3695.06,24835,27324.5,29864.5,32866.5,37869
88,31926.9,5112.04,24631,27966,32174,34432,48953
90,33511.1,5803.15,24836,29402.8,32482,36304.8,51314
92,33863.7,6643.73,25246,29351.5,32430.5,37330.5,50390
94,34110.8,5658.74,26478,29736.5,31814.5,38536.8,46388
96,35069.7,9782.6,24528,29761.5,32378.5,38280.2,79536
98,36641.2,7069.46,27914,31558,34585,40974,56753
100,35569.9,6095.68,28531,30711.2,33046,38074.2,49466
102,37426.9,7253.55,28017,33199.8,35714,38023.2,65168
104,39546.9,7368.1,31096,33995.5,37356.5,43462.8,61577
106,169691,456058,37561,47003,55521,68760,2.51571e+06
108,55146.2,10522,37870,45951.5,54034,61936,85078
110,69950.2,29559.7,37562,53572,60345,80331.5,191400
112,63738.1,21556.5,45669,51698.5,59267.5,68401,162562
114,60806.7,11455.6,43104,54264.5,58856.5,66066.2,95136
116,99125.3,110245,46798,53468,62551.5,71018.2,488096
118,61464.2,11127.3,41769,55367.5,59575,65938.2,97598
120,51557.5,12777.7,38486,45977.8,49107,52955.8,111453
122,52282.3,7284.36,42077,47388.5,51673,54495,73173
124,66092,14389.1,40128,55828.8,66502.5,75276.5,100780
126,82974.2,83424.4,44848,51416.8,60498.5,69555.2,503285
128,58189.7,10499.7,45259,50107.8,57317.5,62654,93494
130,58920.9,10420.7,45567,52160.2,57779.5,63346.2,100369
132,56021.8,6497.53,44951,51365.5,54957,60985.8,70402
134,57676.7,8384.89,43206,50646.8,57830.5,60165.2,81281
136,56897.2,9463.89,43103,51211,54700,60165,86822
138,58408,9454.77,44130,51518.5,56035,64552.8,80460
140,61226.8,9941.06,49055,53366,57727.5,66092.2,90722
142,59148.7,8004.77,45361,53212,59113.5,63013,77997
144,63038.9,14387.4,45874,54367,57779,67041.2,104680
146,69318.4,12404.7,49056,62242.8,67323.5,76996,99960
148,71736.7,22447,48646,59934,67118.5,79433.5,161331
150,71400,16316.7,50698,59036.5,69941,82281,117201
152,61909.9,9758.63,48235,55239.2,59113.5,66118,93801
154,64674.7,11835.6,49466,57061.2,62397.5,66913.5,100370
156,67362.1,11962.8,51108,58164,65527.5,74943.5,92056
158,61255.8,6872.71,51519,55136,60294,65963.8,75534
160,63295.6,13772.7,48338,55804.2,60191,65091.5,119561
162,64142.2,8129.02,54085,57753.8,62295,67965.2,83949
164,61592.4,7271.34,48133,57574.2,61217.5,65630.5,79228
166,73583.8,15326.5,49159,64167.8,69991.5,80075.2,121203
168,64931.1,9167.31,52135,59421.2,62500.5,69735.2,87541
170,72814,16401,54392,63218,67067,81717,122332
172,90501.4,71834,49877,61345.8,67990.5,87669.5,420157
174,67435.8,13546.9,49877,57189.5,63320.5,76611.5,106322
176,65078.7,9283.89,51416,60268,63219,68196,91544
178,66335.7,11451.3,50083,60447,63834.5,68169.8,110017
180,68471.8,11460.9,51211,60243,66246,75123,99138
182,78724.9,16756.4,54393,64860.2,75790.5,85181,115148
184,75155.4,12334.6,56445,65681.5,74866.5,85591.5,98625
186,72599.5,14120.6,50800,61680,68914.5,78638.8,106220
188,68491,8985.54,56651,61576.5,67426,74559.2,88568
190,76361.1,14579.4,51519,66015.2,74764,83717.8,114019
192,69238.3,8434.54,59113,63064.8,66605.5,74455.5,93288
194,72378,9689.74,56548,64604,69684,78048,89286
196,75113.8,11198.1,57984,66784.2,73276,80870.5,101293
198,75899.2,11289.4,61268,67375.5,74251,83282,109914
200,74055.4,10678.6,55111,65758.8,71993,84385.8,96675
202,77724.3,10145.5,63732,70813,75995.5,82897.2,107143
204,77923,11320.3,64347,68555.8,77278.5,84565.5,103448
