n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
8,2635.41,464.988,2157,2362.75,2465,2773.25,4314
10,2696.38,537.143,1644,2363,2722,2876.25,4828
12,3502.12,3946.62,1336,2363,2927.5,3210.5,24858
14,4465.09,3904.66,2876,3493,3800,3903.25,25680
16,5052.56,2801.59,3903,4391.5,4622,4827,20339
18,5152.12,2510.02,3903,4417,4622,4879.25,18695
20,4542.09,891.172,2465,4083.25,4776.5,5239,5752
22,5235.59,3834.1,2671,4314.75,4674,5058.75,25783
24,4670.5,694.725,3493,4211,4622,5058.75,6163
26,6580.5,2869.99,4828,5341,5855,6496.75,21263
28,7970.38,5508.24,5649,6239.75,6522.5,6985,29686
30,11167.6,8290.02,6471,7061.5,7447,8448.75,32767
32,8352.44,576.608,7293,8063.75,8217.5,8654.5,9553
34,9556.06,7045.22,6369,7883.5,8371.5,8756.75,47867
36,9244.66,4095.89,6368,7986.25,8474,9270.5,31124
38,8095.56,814.906,6369,7704,8063.5,8448.75,9861
40,8217.69,596.22,7190,7781.25,8218,8628.25,9245
42,8285.06,802.699,6471,7678.5,8268.5,8757.5,9861
44,9986.31,3779.8,7602,8115,8885,10529.2,28967
46,9241.53,4076.08,7088,7755.5,8423,9219,30816
48,9395.69,4141.33,6985,7909,8269,8680,26090
50,9386,856.122,6471,8937,9450,9989.75,10683
52,10012,809.677,8423,9655,9912,10195.5,12429
54,11700.5,2603.66,9553,10581,11196.5,11864.2,24961
56,12788.7,1603.56,10580,11505,12429.5,14021.2,17463
58,12782.2,849.935,10785,12223.8,12840,13456,14792
60,13998.8,1476.25,12121,13045,13559,14381,17668
62,14592.8,942.231,12943,13944.2,14586,15049.2,17565
64,16611.7,4728.35,13764,14637.5,15202.5,16589.2,38211
66,14547.8,843.801,11916,14149.2,14483.5,15151.5,15922
68,15128.7,777.539,13970,14586,14843.5,15639.5,17154
70,15514,1146.14,14175,14971.2,15305,15639.5,20647
72,16056.5,3297.68,13559,14766.2,15253.5,16230,32665
74,15603.8,1422.23,14072,14586,15254,16024,19106
76,15241.1,729.989,13662,14894,15151,15433.8,18079
78,15578.1,2336.68,13661,14560.2,15048.5,15973.2,27427
80,15860.7,1556.05,13662,14868.5,15716,16280.8,19928
82,15944,2765.68,13559,14586.8,15203,15793,28762
84,15510.9,815.887,13251,15203,15613,16024,17154
86,15286.1,1196.28,13456,14354.5,15254,15998.8,18182
88,17118.8,4957.95,14278,15099.8,15614,16665.5,36465
90,15498,2533.39,12634,14561,15048.5,15511,27631
92,15433.6,2131.75,13970,14534.8,14945.5,15536.5,25782
94,15218.6,853.136,13867,14586,15253.5,15716,17565
96,15568.4,1179.46,13456,14895,15408,16023.8,19105
98,16920,3758.58,13970,15459.5,16127.5,17282.5,36363
100,17311.5,874.795,15613,16615,17410.5,17821.5,19209
102,18723.8,1375.94,16640,17667.8,18387,19465.2,22084
104,19815.3,2157.92,17256,18464.2,19003,20544,26399
106,20768.7,4679.31,18387,19337.8,19825,20672.5,45813
108,21128.1,2488.8,17770,20030,20698,21288.8,32767
110,23372,3830.6,19517,21109.5,22393.5,23625.8,37082
112,24742.7,4050.87,21160,22238.8,23163,25936.5,37493
114,23821.4,2177.52,21160,22572.5,23266,24370.8,32562
116,25731.2,5064.06,22906,23831,24344.5,25551,51976
118,26720.1,5917.85,23009,24395.8,25115,25654.2,53825
120,31104.8,9333.57,23009,25474,26297,33152.8,61735
122,33316.6,12096.2,24755,26553,29172,33358.5,83306
124,28007.2,1788.01,25167,26861.5,27734,28786.8,33384
126,31817.4,5689.23,26604,28196.8,29018,35155.8,52181
128,39293.6,12565.5,27118,29788.8,34668.5,44580,68719
130,34285.9,11643.5,27118,28325.5,29942.5,31431.8,70363
132,32414.5,5237.03,27118,28915.8,29943,35951.8,52387
134,34160.8,5241.31,27426,30327.8,34308,36235,56701
136,35062.8,7906.85,26810,29506,33332.5,38545.8,60605
138,33184.9,4311.16,28351,30122,32870.5,34950.8,51360
140,39081.7,32026.3,28659,30867.8,33897.5,35669.5,213863
142,31214.1,4105.14,26194,28401.8,29172.5,33949,41396
144,29897.9,2534.42,25680,28479,29686.5,30379.2,37493
146,29348.9,1819.81,26501,28633.2,29224,29968,36054
148,29583.3,2480.02,26810,28427.5,29172,30354.2,40985
150,29246.3,1053.39,26810,28505.5,29378,29994.2,31535
152,29962.2,2809.71,26707,28556.8,29326.5,29916.8,40164
154,29410.1,2820.96,26810,28145,28762,29660,42732
156,29734.1,2900.89,26810,28555.5,29121.5,29763.8,41601
158,29576.9,2670.15,26912,28222.2,29070,30019.8,42012
160,29731,3488.28,26296,28119.2,28864.5,29814.2,43451
162,29108.3,1670.6,26296,28042.8,29070,30200,33076
164,29015,1450.78,25988,28196.5,28812.5,29891.5,31637
166,29605.8,2651.7,26399,28453.2,29275.5,30199,41601
168,30369.8,2665.45,27529,28941.2,29686,30430.8,38930
170,29984.6,2994.37,26193,28504.8,29481,30071.2,42526
172,28906.1,1627.57,26604,27940,28505,29044,34309
174,34841.3,25263.8,27118,28504.8,29531.5,30430.5,169899
176,29567.4,1454.88,26296,28428.2,29223.5,30405.2,32563
178,29223.8,1407.03,26296,28324.5,29275,30122,31535
180,30999,10653.5,27529,28633.2,29069.5,30122.8,89161
182,30302.3,2163.72,27426,28915.5,30199.5,31227,39650
184,29824,2245.28,25783,28890,29685.5,30122.8,37492
186,29798.4,2738.27,26193,28479,29532,30816,42218
188,29294.4,3018.25,26707,27914.2,28556.5,29608.8,42526
190,30016.7,4229.55,25783,28119.2,29121,30071,49203
192,32064.8,5627.14,27015,28736.2,29789,31715.2,45505
194,38564.8,9942.03,27734,31406.5,36619.5,39366.8,67281
196,31104.8,1912.02,28248,30148.5,30662,31663.5,37287
198,32790.1,2599.79,29481,31329.8,32305.5,33178,40266
200,33470.7,3902.21,29892,31304.2,32973.5,33614.8,47559
202,34032.3,3171,30097,32459.8,33435.5,34411,47765
204,35194.4,2491.43,31227,33460.5,35079,35695.2,43554
206,35143,1375.47,32357,34154.5,35181.5,36106.2,37699
208,35849.3,1290.58,33076,35104.5,35695.5,36362.8,39958
210,38311.3,2808.43,35438,36774,37493,38520.5,49922
212,38330.5,2322.99,36363,37235.8,37750,38853.5,49511
214,38956.4,1519.82,35952,38006,38931,40266,42012
216,44609.3,11159.2,35541,38905.2,40471,46711.8,83306
218,42753.8,8138.06,38212,39752.5,40985,42295,83305
220,48743.8,14664.7,37287,40857.2,42783,54467.2,100152
222,45055.6,5922.79,39752,41705,42423.5,45839,65741
224,43530.7,2093.84,40780,42397.2,43040,44221.2,52285
226,50188.3,20921.6,40780,43528,44991,46583.2,161270
228,44959.2,1818.03,42423,43938.5,44683,45685,52695
230,46936.6,3387.58,43143,44863.2,45761.5,46994.2,54750
232,47793.7,3664.34,42936,46275.5,46789,48098.5,61427
234,48394,1776.42,45710,47457,48227.5,48817.5,55058
236,48695.7,2318.09,45505,47431.2,48175.5,48997,58140
238,54438.2,19743.7,46121,47764.8,49767.5,50846,151512
240,52531.6,5753.61,47046,49305.8,50281.5,52053.2,70877
242,52011.7,5021.72,47560,49819,50487,51899.5,72829
244,55741.6,9917.69,48175,50307.5,51668,53979.2,91729
246,54232.9,6016.47,49717,52079,52695.5,53877,84641
248,53260.2,1583.22,50744,52181.8,53157.5,54569.8,56496
250,55314.6,2753.49,51976,53799.2,54852,56084.8,68308
252,55131.8,1582.88,51874,54005.2,54699,55931.2,58345
254,57616.2,3860.99,54030,55417.5,56547.5,58037,69541
256,56980.6,3197.69,53312,55340.2,56290,57753.8,70877
