n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
8,5144.22,4322.63,3182,3566.25,3695,4002,19192
10,5089.75,2472.81,4208,4413,4567,4824,18473
12,6965.91,1686.41,4618,5440,6773.5,8133.5,10982
14,7244.88,2289.2,4824,6363,6619,7004.5,17755
16,9220.53,4118.39,7594,7799.75,7902.5,8543.75,29865
18,10788.8,2457.63,9031,9313.5,9493,10981,18165
20,11985.2,2043.65,10161,10981,11084,11315.5,17550
22,14515.6,4496.37,12418,12623.8,12777,13136.2,29249
24,18207,9080.75,13137,14778.8,15035,15291.2,52649
26,18444.4,4007.2,16626,16831,17036.5,17344,33150
28,19775.4,3154.72,17550,18987,19243,19525.5,36843
30,22645.6,3657.55,19705,21295,21757,22065,36125
32,26779.8,5112.47,22270,24015,24271.5,25503.5,38588
34,27921.5,3191.14,26376,26889,27094,27402,40949
36,30660.5,1684.37,28737,30045.2,30327,30609.5,38999
38,34345.4,3173.15,31815,33226.2,33662,34098.5,47210
40,37203,2755.31,35612,36433.8,36638.5,37176.8,52033
42,46632.1,10786,39204,40025.8,40487,50211.8,73277
44,57398.6,24472.7,43002,44028,44284.5,59576.8,139678
46,49335.7,4528.36,47004,47491.5,47927.5,48184.5,68146
48,52956.6,3535.44,50699,51673.5,51981.5,52443,66196
50,56243.9,1733.31,54702,55625,55984,56241,65272
52,65493.3,11952.1,56959,59833,60448,61269.2,98319
54,65525.5,3436.72,63424,64143.8,64656.5,65143.2,78922
56,79037.3,15953,67119,69351.5,70095.5,84027.8,130852
58,83158.4,25359.8,72764,74072.5,74868,75740.2,207310
60,84441.3,12392.7,77485,79024.8,79640,80075.8,126747
62,85826.8,3116.74,82617,84361,84874.5,85439.2,96266
64,91991,5052.16,88774,89672.2,90108.5,90954.8,109814
66,95538,920.238,93598,94829,95496.5,96291.5,97806
68,107183,15490.1,98832,100858,101910,102937,160717
70,109053,4639.75,105400,106426,107248,107965,119973
72,126984,25649.9,111353,113533,114072,129159,238305
74,123196,10586.2,117202,118639,119306,120512,159075
76,134636,18871.9,124181,125490,126234,139036,198587
78,132950,4135.41,130852,131648,132135,133110,155072
80,145441,14790.7,136805,139036,140089,144476,214700
82,146952,4204.95,144399,145194,145784,146683,164515
84,157946,10802.1,151173,152584,153276,156176,198895
86,161580,4516.63,157022,159075,160306,161256,179293
88,208879,45896.1,160717,168645,185862,249055,292801
90,178459,13915.9,172109,174085,175240,176574,252160
92,184264,4765.15,180525,182090,182680,183398,201564
94,203029,24384.4,187093,190762,192378,201306,291569
96,200175,3853.66,195304,197946,198946,200383,210903
98,226445,39422.8,203924,205669,207722,219524,338471
100,233417,33573.6,205258,214674,216702,239202,344423
102,234106,30436.2,221781,223372,224758,226887,372954
104,237859,8874.04,230299,232481,233892,244924,270325
106,250271,15927.9,239228,241589,243590,246823,304705
108,254863,5888.38,248670,250415,252980,256727,270120
110,308208,98818.5,259138,261216,262833,292442,682586
112,309799,49720.3,254828,268966,297266,341319,451363
114,292612,24409.6,264989,279074,280998,295007,359099
116,306261,38320.8,283666,288567,290646,297650,449104
118,307977,25865.3,296803,299574,301011,307040,445102
120,312605,5675.89,305937,308298,310556,314764,325334
122,332791,29148.8,315071,319330,322717,333262,441510
124,348987,44573.2,326566,331184,332929,341114,513248
126,346957,10797.2,336520,340754,342935,351504,394917
128,368663,27045,349350,351146,357560,370029,462549
130,392370,69051.3,360331,362768,366694,377623,651695
132,390154,32373.5,372030,374545,379882,390838,528232
134,429836,66460.2,366283,387398,403589,439971,634042
136,480779,110541,379933,398047,428117,521638,779570
138,425173,26677.6,406103,408874,412158,427989,503704
140,453803,14574.1,430632,444486,452645,460035,498264
142,486968,28542.2,461318,469631,477482,493646,607256
144,503149,46336.7,476199,480562,494518,503446,715632
146,502190,12261.7,488617,492722,497135,508398,533466
148,523219,13961.6,502472,515121,522895,527642,574620
150,517007,42355.6,479894,493338,511144,528206,716864
152,512796,53751.6,490670,494262,500214,508527,791886
154,520884,26968.9,504114,509117,512530,521612,630759
156,548921,53438.8,494980,520920,531464,541625,754734
158,542392,9188.7,530900,535878,540394,545243,570413
160,563841,24932.6,543319,549579,555890,563049,642560
162,602157,55389.9,537264,565179,584011,615030,775876
164,593741,28612.1,569284,575621,583446,605306,715632
166,655107,77789.9,604383,633530,644358,655107,1.06929e+06
168,666746,100666,603869,626192,650976,661573,1.1751e+06
170,699459,27532.5,669142,682663,691258,707858,776697
172,663686,62593.8,628911,634556,645332,658571,935772
174,671711,29028.2,648000,653311,661958,672528,758326
176,691650,59667.5,629219,661444,669758,694311,935465
178,722034,73254.4,667808,682535,693002,712067,965535
180,706794,14653.3,684536,696621,702650,715684,750937
182,736607,51184.3,704343,711116,718148,731258,930743
184,744157,29179.1,720969,727384,731489,747756,851924
186,821215,107642,720764,750552,766383,850847,1.13354e+06
188,779375,29791.5,752374,761893,769000,782983,898929
190,798810,40085.1,756171,775465,784240,799942,934438
192,843399,81921.1,787576,794349,812104,859980,1.19409e+06
194,854900,80020.3,775466,810821,823958,855516,1.15006e+06
196,876042,74178.7,820725,828526,845202,901212,1.09331e+06
198,922116,149136,834888,853797,871116,900340,1.49202e+06
200,924178,91948.7,853977,864856,875426,949370,1.18865e+06
202,937263,124510,872245,884252,899698,948164,1.56797e+06
204,921609,31961.6,890923,906292,911090,929306,1.06098e+06
206,934326,40546.9,904163,911013,919248,936414,1.09382e+06
208,953116,37250.8,920378,930769,939980,959454,1.08818e+06
210,993462,68743.3,898620,953218,966714,988215,1.1946e+06
212,989158,28146.7,957632,969229,980108,1.00176e+06,1.09054e+06
214,1.04683e+06,88958.3,977439,991166,1.00987e+06,1.0656e+06,1.35214e+06
