n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
8,590.062,113.733,410,513,513.5,641.5,924
10,734.344,74.2683,616,718,718,719,924
12,984.5,68.2037,821,924,1026,1026,1129
14,1254,56.6768,1129,1231,1232,1334,1335
16,1635.53,210.114,1437,1539,1540,1642,2463
18,2193.56,514.587,1745,1847,1848,2873.25,3181
20,2636.03,584.876,2155,2257.75,2360,2796.75,3797
22,2738.69,66.1174,2668,2668,2770,2771,2976
24,3248.56,322.008,3078,3155.5,3181,3283,4926
26,4839.22,2850.29,3592,3694,3695,5772.75,19395
28,4560.25,845.759,4105,4207,4208,4310,6875
30,5156.72,732.692,4823,4925.75,4926,5029,7902
32,5551.06,587.158,5336,5412.75,5439,5464.5,8723
34,7029.44,1672.92,5952,6055,6106,6875.25,10160
36,8847.72,4097,6568,6773,6875,10596,28016
38,8110.22,1659.61,7388,7389,7491,7594,12725
40,8607.31,1313.81,8107,8209.75,8312,8313,13956
42,10531.4,2660.01,8928,9031,9082,9826.25,16317
44,10582.7,1671.53,10056,10057,10159,10262,17343
46,11285,1874.32,10672,10775,10775,10878,18677
48,11766.2,88.8504,11596,11699,11801,11802,11904
50,12667.1,82.1563,12519,12622,12623,12725,12930
52,19423.9,7750.19,13546,13751,14008,23294,42587
54,23817.6,7484.49,14982,15162.5,24732,25526.8,47410
56,23638,4849.14,15701,18369,26322,27014.8,27400
58,19629.4,4744.24,16727,16906.5,16933,20036.2,29144
60,18471.6,1659.61,17958,18061,18061,18164,26989
62,22024.9,5203.81,19395,19498,19600.5,19729.2,33864
64,20607.3,701.465,20421,20421,20422,20524,24423
66,22105,1872.29,21652,21653,21755.5,21781.5,32325
68,35602.8,6747.34,22986,38226,38893,39406,40125
70,27723.5,7318.47,23192,24397.5,24475,24551.8,49668
72,25157.9,625.714,24424,24526,24731,25758,25963
74,28996.6,4496.76,26989,27194,27194.5,27297,45871
76,29644.4,3189.04,28426,28529,28631,28734,40022
78,32681.4,9862.76,30067,30068,30170.5,30273,75118
80,32437.6,3865,31505,31607,31709,31812,53568
82,36180,9488.94,33044,33147,33249,33454.2,75015
84,34858.8,88.0545,34686,34788,34890,34891,35096
86,37151.7,2478.88,36327,36431,36533,36558.5,46897
88,39046.9,4694.28,38072,38148.8,38175,38277,64753
90,40865.4,5205.98,39714,39817,39919.5,40022,69371
92,42728.4,3285.7,41458,41561.8,41664,41869,54491
94,47461.7,9139.53,43408,43485.5,43511,43998,75528
96,46201.7,2959,45255,45358,45358,45461,58904
98,47272.5,151.276,47102,47205,47205,47308,47821
100,51060,5683.79,48949,49053,49155,49385.8,76247
102,52493.3,5044.79,50899,51002,51002,51105,75836
104,58727.5,13284.4,52952,53054,53157,53387.8,109803
106,58862.2,8964.5,55004,55081.5,55209,55697,95026
108,57682.2,2102,57056,57236.5,57262,57365,69166
110,65827.6,15772.4,59622,59801.5,59930,60186.2,127454
112,64147.2,6243.55,61880,61983,62085,62188,92461
114,65529.3,5364.56,64137,64240,64241,64445,93282
116,70496.8,9387.38,66293,66498,66600,66754.2,96155
118,69470.7,2738.87,68653,68755,68858,68961,83635
120,72882.8,7641.34,70910,71013,71116,71372.2,113396
122,76054.4,11027.5,73168,73373,73425,73681,134741
124,76054.4,1278.53,75631,75733,75836,75939,83020
126,89093.5,18805.7,77991,78197,78350.5,93050.5,148696
128,83337.2,10022.2,80557,80659.8,80762,80864,126017
130,86839.1,11850.4,83019,83225,83481,83841,144490
132,90770.8,13002.7,85585,85791,85893,86765.5,145823
134,99660.2,20583.9,84353,88254,88356,102313,155777
136,94009.6,8709.28,90819,91024,91127,91434.2,132277
138,94721.7,3075.64,93282,93590,93692,93923.5,104364
140,102784,17620.1,96155,96258,96463,96719.5,164705
142,101873,10715.6,98823,98926,99028,99131,157830
144,107472,12984.3,101696,101902,102107,103416,162653
146,111426,10710.2,104467,104673,104826,117166,140692
148,122086,29215.8,107443,107622,107752,122452,230177
150,124491,27171.8,105288,110522,111035,123222,203598
152,126922,23073.3,108161,113472,114011,126479,192002
154,120139,7824.57,116063,116346,116577,118988,153109
156,125572,17471.1,119039,119322,119450,120040,207396
158,122846,1827.71,122118,122221,122425,122631,132483
160,128282,4753.48,125299,125505,125915,127146,140384
162,129362,2624.71,128275,128480,128583,128789,139256
164,139300,16333.6,131559,131662,131867,132482,188308
166,143556,24461.3,134740,134843,135100,138152,234795
168,151727,31494.5,137922,138127,138434,138896,243004
170,144444,13612.3,141205,141308,141564,141744,218376
172,145990,3360.2,144489,144592,144797,144926,156495
174,173823,47152.8,147876,148081,148286,160447,273277
176,152080,2035.72,151262,151365,151570,151981,162961
178,159292,11696.5,154649,154854,154957,155264,215502
180,159876,4353.29,158035,158241,158446,158907,177327
182,167803,20397.6,161627,161832,161935,162524,275124
184,178751,32905.7,165116,165500,165732,176147,290004
186,170042,3497.92,168708,168912,169067,169528,185537
188,182475,25185.5,172402,172710,173274,175326,283950
190,178338,3946.91,175993,176404,176712,177200,189129
192,195440,37775,179688,179970,180201,186974,325101
194,194866,24140,183587,183793,184049,191772,280769
196,190357,5861.26,187179,187487,187692,188821,213039
198,194003,7017.3,190976,191182,191336,191848,220941
200,201989,15000.4,194979,195184,195594,204060,264863
