n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
10,249950,439857,0,0,0,248725,1.0051e+06
20,373728,490222,0,0,0,992350,1.0058e+06
30,462844,464809,0,0,537400,999050,1.0175e+06
40,405828,498492,0,0,0,996725,1.011e+06
50,280938,456333,0,0,0,978975,1.0109e+06
60,563984,505391,0,0,989400,1.00338e+06,1.0214e+06
70,439353,656534,0,0,0,998025,2.9983e+06
80,513500,528364,0,0,489900,999900,1.4767e+06
90,372784,489027,0,0,0,997900,1.0023e+06
100,311588,469566,0,0,0,993250,1.0019e+06
110,688766,471833,0,0,999250,1.00158e+06,1.0153e+06
120,687291,470899,0,0,991150,1.0007e+06,1.0293e+06
130,687919,471299,0,0,998350,1.00402e+06,1.0181e+06
140,937331,504652,0,992575,1e+06,1.00362e+06,2.0118e+06
150,979144,401661,0,995125,1.00165e+06,1.02682e+06,2e+06
160,940616,358180,0,996475,1.0001e+06,1.00728e+06,2.043e+06
170,1.12634e+06,336126,983600,999550,1.00005e+06,1.00608e+06,2.0119e+06
180,1.25059e+06,439113,975600,999275,1.00295e+06,1.2558e+06,2.0115e+06
190,1.40253e+06,497349,980600,999450,1.002e+06,1.99342e+06,2.0239e+06
200,1.38129e+06,490344,986300,999450,1.0058e+06,1.99998e+06,2.0109e+06
210,1.46674e+06,508085,983000,999375,1.0079e+06,1.99785e+06,2.0111e+06
220,1.73383e+06,539163,989100,1.0081e+06,1.9903e+06,2.00462e+06,2.9974e+06
230,1.84289e+06,516987,978900,1.98405e+06,1.99745e+06,2.00695e+06,3.0057e+06
240,2.01016e+06,515168,999300,1.98565e+06,2.00055e+06,2.01088e+06,3.0194e+06
250,2.08478e+06,303060,1.6854e+06,1.99495e+06,1.9997e+06,2.00922e+06,3.0021e+06
260,2.35254e+06,498291,1.5508e+06,1.99965e+06,2.0108e+06,2.9948e+06,3.0133e+06
270,2.45828e+06,498859,1.9832e+06,2.0073e+06,2.0165e+06,2.99962e+06,3.0623e+06
280,2.59968e+06,618899,1.9876e+06,2.00055e+06,2.9854e+06,3.00445e+06,4.0057e+06
290,2.62532e+06,552334,1.9869e+06,2.0096e+06,2.9891e+06,3.00005e+06,4.0134e+06
300,2.93672e+06,436089,1.9837e+06,2.99245e+06,3.00095e+06,3.01075e+06,4e+06
310,3.22737e+06,415361,2.9879e+06,2.99932e+06,3.00485e+06,3.07912e+06,4.001e+06
320,3.46959e+06,566790,2.9845e+06,2.99988e+06,3.011e+06,3.99938e+06,5.0193e+06
330,4.30061e+06,2.85162e+06,2.9876e+06,3.00448e+06,3.9909e+06,4.0043e+06,1.70023e+07
340,4.21631e+06,1.51811e+06,2.9813e+06,3.99355e+06,3.9981e+06,4.01002e+06,1.19963e+07
350,4.02455e+06,481782,2.989e+06,3.99118e+06,4e+06,4.009e+06,5.0261e+06
360,4.22096e+06,497587,3.6508e+06,3.99638e+06,4.00015e+06,4.01145e+06,5.7499e+06
370,4.40855e+06,557618,3.9799e+06,4.00225e+06,4.01125e+06,4.99918e+06,5.9917e+06
380,4.51879e+06,612763,3.9791e+06,4e+06,4.01625e+06,4.993e+06,5.9894e+06
390,4.90398e+06,432185,3.9811e+06,4.98472e+06,4.9985e+06,5.00762e+06,6.0003e+06
400,5.04328e+06,404925,3.9939e+06,4.99165e+06,5.00065e+06,5.01028e+06,6.0027e+06
410,5.3767e+06,706483,4.0104e+06,4.99942e+06,5.00805e+06,5.99445e+06,8.0017e+06
420,7.17828e+06,7.65135e+06,4.9893e+06,5.00568e+06,5.9872e+06,6.01032e+06,4.79872e+07
430,5.73601e+06,566006,4.9895e+06,5.01088e+06,5.99415e+06,6.0028e+06,6.9981e+06
440,6.12465e+06,610253,4.9891e+06,5.98918e+06,5.99995e+06,6.0165e+06,8.0144e+06
450,6.30308e+06,511417,5.016e+06,5.99938e+06,6.0117e+06,6.98112e+06,7.0086e+06
460,6.57588e+06,585174,5.7114e+06,5.99765e+06,6.9848e+06,6.99945e+06,8.2188e+06
470,7.10941e+06,618233,5.9928e+06,6.99775e+06,6.99995e+06,7.00515e+06,9.0029e+06
480,7.21915e+06,861590,5.9922e+06,6.99368e+06,6.9997e+06,7.988e+06,9.206e+06
490,7.27834e+06,500487,6.6346e+06,6.99382e+06,7.00395e+06,7.72e+06,8.6506e+06
500,9.48848e+06,7.7752e+06,6.9805e+06,7.01038e+06,8.0062e+06,8.28858e+06,5.09872e+07
510,8.21452e+06,569782,7.011e+06,7.99352e+06,8.0082e+06,8.98922e+06,9.1689e+06
