n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
8,249750,439511,0,0,0,246750,1.01e+006
10,218969,420436,0,0,0,0,1.005e+006
12,203500,399348,0,0,0,0,1.004e+006
14,328906,503036,0,0,0,1e+006,1.506e+006
16,256281,468088,0,0,0,126250,1.4e+006
18,312312,518543,0,0,0,999250,1.505e+006
20,281688,474816,0,0,0,629000,1.506e+006
22,328500,468935,0,0,0,998250,1.007e+006
24,328875,469945,0,0,0,1.00025e+006,1.015e+006
26,187844,397287,0,0,0,0,1.007e+006
28,389375,546596,0,0,0,999000,1.507e+006
30,281500,474590,0,0,0,627500,1.506e+006
32,203531,399454,0,0,0,0,1.005e+006
34,172250,373074,0,0,0,0,1.006e+006
36,314406,490516,0,0,0,999000,1.509e+006
38,329000,503330,0,0,0,999000,1.511e+006
40,361125,497623,0,0,0,999000,1.509e+006
42,266469,476622,0,0,0,248250,1.51e+006
44,125781,404170,0,0,0,0,1.51e+006
46,280938,506139,0,0,0,249000,1.514e+006
48,344562,483707,0,0,0,999000,1.011e+006
50,422781,526543,0,0,0,1e+006,1.506e+006
52,313031,520683,0,0,0,999000,1.503e+006
54,281656,439152,0,0,0,628500,1.003e+006
56,453812,587692,0,0,0,1.00025e+006,1.505e+006
58,485781,617352,0,0,0,1.00225e+006,1.507e+006
60,500469,524071,0,0,252000,1e+006,1.503e+006
62,422344,526037,0,0,0,1e+006,1.506e+006
64,407469,547026,0,0,0,1.001e+006,1.506e+006
66,531938,507669,0,0,997500,1.00025e+006,1.007e+006
68,580219,527273,0,0,997000,1e+006,1.503e+006
70,500781,596987,0,0,0,1.00025e+006,1.511e+006
72,375812,524579,0,0,0,998500,1.504e+006
74,573938,612887,0,0,499000,1.0015e+006,1.832e+006
76,541062,611943,0,0,0,1.004e+006,1.765e+006
78,328219,502052,0,0,0,998500,1.505e+006
80,579562,541711,0,0,997500,1.001e+006,1.504e+006
82,500812,554565,0,0,0,1.00225e+006,1.504e+006
84,607969,603218,0,0,998000,1.00325e+006,1.506e+006
86,546562,543523,0,0,750500,1e+006,1.506e+006
88,532062,538612,0,0,504000,1.001e+006,1.504e+006
90,532250,567631,0,0,252500,1.003e+006,1.507e+006
92,562250,519499,0,0,992000,1e+006,1.503e+006
94,594188,515259,0,0,998000,1e+006,1.505e+006
96,702906,537020,0,0,999000,1e+006,1.506e+006
98,699344,574905,0,0,999500,1.00225e+006,1.507e+006
100,547531,529937,0,0,998000,1.00025e+006,1.507e+006
102,769750,526809,0,0,1e+006,1.0025e+006,1.532e+006
104,642469,496811,0,0,998500,1e+006,1.511e+006
106,675375,504237,0,0,999000,1.00025e+006,1.508e+006
108,814344,471969,0,874500,1e+006,1.00425e+006,1.505e+006
110,681594,598680,0,0,999000,1.00175e+006,1.508e+006
112,485094,500388,0,0,252000,1.001e+006,1.007e+006
114,783375,492110,0,378000,999000,1.0035e+006,1.505e+006
116,860844,496819,0,997750,1e+006,1.006e+006,1.508e+006
118,797406,552910,0,0,999000,1.001e+006,2.014e+006
120,918250,398887,0,998000,1e+006,1.001e+006,1.521e+006
122,923281,477259,0,996750,1e+006,1.002e+006,2e+006
124,969000,358705,0,998000,1e+006,1.002e+006,1.506e+006
126,926156,527030,0,998750,1e+006,1.02725e+006,2.002e+006
128,1.03247e+006,359058,0,998750,1e+006,1.005e+006,2.006e+006
130,1.08297e+006,257672,505000,999000,1e+006,1.033e+006,1.506e+006
132,1.01934e+006,348847,0,999000,1.001e+006,1.006e+006,1.507e+006
134,1.05872e+006,436042,0,999000,1e+006,1.006e+006,2.075e+006
136,1.03266e+006,420988,0,999000,1.001e+006,1.00475e+006,1.999e+006
138,1.12147e+006,378008,0,999000,1e+006,1.005e+006,2.009e+006
140,1.18359e+006,486429,0,1e+006,1.003e+006,1.44575e+006,2.518e+006
142,1.21747e+006,505813,0,999750,1.003e+006,1.50325e+006,2.513e+006
144,1.17234e+006,372797,996000,999000,1e+006,1.00325e+006,2.002e+006
146,1.14362e+006,425351,0,1e+006,1.001e+006,1.007e+006,2.006e+006
148,1.20753e+006,377854,997000,1.00075e+006,1.004e+006,1.50325e+006,2.51e+006
150,1.15809e+006,517064,0,999000,1e+006,1.13025e+006,2.512e+006
152,1.33241e+006,537083,0,1e+006,1.0025e+006,1.99925e+006,2.114e+006
154,1.40466e+006,575566,504000,1e+006,1.0115e+006,2.001e+006,2.509e+006
156,1.45997e+006,565464,998000,1e+006,1.0095e+006,1.99925e+006,3.011e+006
158,1.44016e+006,505885,997000,1.00075e+006,1.005e+006,2e+006,2.512e+006
160,1.39331e+006,520143,0,1.001e+006,1.5025e+006,1.99725e+006,2.505e+006
162,1.61741e+006,515339,504000,1.0045e+006,1.761e+006,2.001e+006,2.514e+006
