n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
8,355969,503862,0,0,0,999000,1.378e+006
10,344312,531387,0,0,0,998500,1.506e+006
12,251438,423444,0,0,0,505250,1.015e+006
14,172062,414210,0,0,0,0,1.504e+006
16,140812,386612,0,0,0,0,1.506e+006
18,203219,437645,0,0,0,0,1.503e+006
20,187969,397560,0,0,0,0,1.017e+006
22,249312,490152,0,0,0,0,1.506e+006
24,328375,548502,0,0,0,998250,1.504e+006
26,344781,500439,0,0,0,998250,1.505e+006
28,287062,575599,0,0,0,0,1.998e+006
30,156594,369715,0,0,0,0,1.005e+006
32,156219,368829,0,0,0,0,1.001e+006
34,344625,546710,0,0,0,999000,1.506e+006
36,236344,461284,0,0,0,0,1.506e+006
38,218781,420075,0,0,0,0,1.004e+006
40,422406,584547,0,0,0,998250,1.507e+006
42,218312,419201,0,0,0,0,1.008e+006
44,471156,555561,0,0,0,1.00025e+006,1.512e+006
46,345594,485210,0,0,0,997500,1.042e+006
48,391688,536181,0,0,0,998000,1.51e+006
50,377219,494832,0,0,0,1.001e+006,1.042e+006
52,265469,474779,0,0,0,249000,1.503e+006
54,234562,458166,0,0,0,0,1.506e+006
56,375250,539386,0,0,0,999000,1.505e+006
58,344656,531916,0,0,0,1e+006,1.509e+006
60,375438,539551,0,0,0,999000,1.504e+006
62,406781,546222,0,0,0,999000,1.506e+006
64,328500,502506,0,0,0,999250,1.507e+006
66,438625,505368,0,0,0,999250,1.041e+006
68,423969,527867,0,0,0,1e+006,1.504e+006
70,252250,443942,0,0,0,249750,1.031e+006
72,361094,514057,0,0,0,999000,1.503e+006
74,470000,508405,0,0,0,1.001e+006,1.03e+006
76,468875,553036,0,0,0,999250,1.505e+006
78,470531,554799,0,0,0,1.00025e+006,1.506e+006
80,801312,492242,0,737250,1e+006,1.00425e+006,1.506e+006
82,486875,533745,0,0,0,1.00025e+006,1.505e+006
84,439000,551751,0,0,0,1.002e+006,1.505e+006
86,580625,572414,0,0,991500,1.00025e+006,1.523e+006
88,610031,520208,0,0,996500,1.00025e+006,1.504e+006
90,610250,520430,0,0,999000,1.00025e+006,1.507e+006
92,376781,541256,0,0,0,999250,1.505e+006
94,630562,543599,0,0,999000,1.00025e+006,1.505e+006
96,493094,584842,0,0,0,1.0015e+006,1.508e+006
98,689500,521401,0,0,999500,1.003e+006,1.507e+006
100,706125,538856,0,0,1.0005e+006,1.00425e+006,1.505e+006
102,814719,505979,0,747750,1e+006,1.005e+006,1.525e+006
104,752281,493874,0,0,999500,1e+006,1.518e+006
106,938375,330677,0,998000,1e+006,1.00325e+006,1.506e+006
108,972750,359153,0,999000,1e+006,1.00375e+006,1.506e+006
110,785156,493113,0,378000,1e+006,1.00425e+006,1.506e+006
112,721094,508658,0,0,999000,1.0015e+006,1.504e+006
114,786344,477601,0,721500,1e+006,1.0025e+006,1.505e+006
116,927938,406740,0,999000,1e+006,1.00125e+006,2.001e+006
118,768688,509653,0,0,1e+006,1.0015e+006,1.505e+006
120,862094,445604,0,999000,1e+006,1.00175e+006,1.505e+006
